
========== Supervised Training Begin ==========

** Initial learning rate: 0.001000000 **

Time 0.35929, Epoch 7, Batch 5, Loss = 1.93335, Training Accuracy = 0.2000
Time 0.34367, Epoch 7, Batch 6, Loss = 1.75543, Training Accuracy = 0.3400
Time 0.35929, Epoch 7, Batch 7, Loss = 1.88481, Training Accuracy = 0.2200
Time 0.34367, Epoch 7, Batch 8, Loss = 1.86379, Training Accuracy = 0.2900
Time 0.35929, Epoch 7, Batch 9, Loss = 1.76773, Training Accuracy = 0.3300
Time 0.34367, Epoch 7, Batch 10, Loss = 1.75793, Training Accuracy = 0.3100
Time 0.35929, Epoch 7, Batch 11, Loss = 1.86887, Training Accuracy = 0.2100
Time 0.34367, Epoch 7, Batch 12, Loss = 1.67122, Training Accuracy = 0.2400
Time 0.35929, Epoch 7, Batch 13, Loss = 1.88270, Training Accuracy = 0.2500
Time 0.34367, Epoch 7, Batch 14, Loss = 1.93663, Training Accuracy = 0.2100
Time 0.34367, Epoch 7, Batch 15, Loss = 1.85717, Training Accuracy = 0.3200
Time 0.34367, Epoch 7, Batch 16, Loss = 1.98374, Training Accuracy = 0.2400
Time 0.34367, Epoch 7, Batch 17, Loss = 1.75363, Training Accuracy = 0.2800
